Full Text Tweet;Datum und Uhrzeit
White House news conference today at 5:30 P.M. Eastern. Thank you!;15-Apr-2020 (20:49:31.000000)
We are having very productive calls with the leaders of every sector of the economy who are all-in on getting America back to work, and soon. More to come! #MAGA;15-Apr-2020 (19:02:47.000000)
My condolences to the Steinbrenner family, and the entire @Yankees Organization, on the passing of Hank Steinbrenner. He was a friend and will be missed greatly by all! https://t.co/nHsO7Wy0oM;15-Apr-2020 (15:48:05.000000)
#ThanksForDelivering @UPS! https://t.co/4Sis7Tme17;15-Apr-2020 (15:39:58.000000)
Our GREAT Senator from South Carolina, @SenatorTimScott just released a fantastic new book, “OPPORTUNITY KNOCKS: How Hard Work, Community, and Business Can Improve Lives and End Poverty.” Get your copy today! https://t.co/fmSYMijfgm;15-Apr-2020 (15:37:20.000000)
“The Art of an Oil Deal” https://t.co/UyH5pYTmYw;15-Apr-2020 (00:45:11.000000)
https://t.co/KRxBA0OjpX;14-Apr-2020 (23:25:07.000000)
White House news conference today at 5:45 P.M. Eastern. Thank you!;14-Apr-2020 (21:21:24.000000)
"My Administration is committed to protecting the Homeland from the scourge of narco-terrorists and traffickers seeking to destabilize the United States and our Hemisphere. Our military deployments in the Caribbean &amp; Eastern Pacific will endure until these threats are neutralized! https://t.co/iOKSK1NeNf";14-Apr-2020 (15:49:52.000000)
Tell the Democrat Governors that “Mutiny On The Bounty” was one of my all time favorite movies. A good old fashioned mutiny every now and then is an exciting and invigorating thing to watch, especially when the mutineers need so much from the Captain. Too easy!;14-Apr-2020 (14:57:19.000000)
GET RID OF BALLOT HARVESTING, IT IS RAMPANT WITH FRAUD. THE USA MUST HAVE VOTER I.D., THE ONLY WAY TO GET AN HONEST COUNT!;14-Apr-2020 (14:24:51.000000)
Cuomo’s been calling daily, even hourly, begging for everything, most of which should have been the state’s responsibility, such as new hospitals, beds, ventilators, etc. I got it all done for him, and everyone else, and now he seems to want Independence! That won’t happen!;14-Apr-2020 (14:07:11.000000)
The Democrats don’t want to approve more money for our great workers under the incredibly successful “Paycheck” plan. Replenish Account Now!;14-Apr-2020 (13:40:12.000000)
https://t.co/DRVhpMCuAx;14-Apr-2020 (02:33:12.000000)
https://t.co/ImJ7W5MACi;14-Apr-2020 (02:27:13.000000)
https://t.co/NOAE5Q6QxH;14-Apr-2020 (02:08:10.000000)
https://t.co/6fEymjTjUM;14-Apr-2020 (00:32:59.000000)
My deepest sympathies go out to Frieda Chera and the family of the late, great, Stanley Chera, one of Manhattan’s most brilliant real estate minds. Stanley was charitable, kind, and a wonderful friend. He will be truly missed!;13-Apr-2020 (21:14:10.000000)
First the Fake News Media said that it’s not fair for the President of the United States to be giving news conferences, but it is the only way I can reach the American People, as seen in the below poll. https://t.co/xP2rqjqtaf;13-Apr-2020 (20:31:30.000000)
White House news conference today at 5:00 P.M. Eastern. Thank you!;13-Apr-2020 (19:30:35.000000)
....It is the decision of the President, and for many good reasons. With that being said, the Administration and I are working closely with the Governors, and this will continue. A decision by me, in conjunction with the Governors and input from others, will be made shortly!;13-Apr-2020 (14:53:52.000000)
"For the purpose of creating conflict and confusion, some in the Fake News Media are saying that it is the Governors decision to open up the states, not that of the President of the United States &amp; the Federal Government. Let it be fully understood that this is incorrect....";13-Apr-2020 (14:53:50.000000)
....disaster, the Energy Industry will be strong again, far faster than currently anticipated. Thank you to all of those who worked with me on getting this very big business back on track, in particular Russia and Saudi Arabia.;13-Apr-2020 (13:31:20.000000)
Having been involved in the negotiations, to put it mildly, the number that OPEC+ is looking to cut is 20 Million Barrels a day, not the 10 Million that is generally being reported. If anything near this happens, and the World gets back to business from the Covid 19.....;13-Apr-2020 (13:31:19.000000)
The @nytimes story is a Fake, just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban, long before most others wanted to do so. @SecAzar told me nothing until later, and Peter Navarro memo was same as Ban (see his statements). Fake News!;13-Apr-2020 (02:08:16.000000)
I am working hard to expose the corruption and dishonesty in the Lamestream Media. That part is easy, the hard part is WHY?;13-Apr-2020 (01:16:50.000000)
Thank you Paris! https://t.co/hDUppWgIXA;13-Apr-2020 (00:51:35.000000)
Thank you! https://t.co/z8dgzQxkVC;13-Apr-2020 (00:47:42.000000)
I look forward to it also! https://t.co/IGZLBgJnn2;13-Apr-2020 (00:38:34.000000)
Great going Natalie! https://t.co/OldfyDdFRO;13-Apr-2020 (00:08:23.000000)
Sorry Fake News, it’s all on tape. I banned China long before people spoke up. Thank you @OANN https://t.co/d40JQkUZg5;12-Apr-2020 (22:51:33.000000)
Fake News! https://t.co/HzPQgbXgxX;12-Apr-2020 (22:21:49.000000)
"Governors, get your states testing programs &amp; apparatus perfected. Be ready, big things are happening. No excuses! The Federal Government is there to help. We are testing more than any country in the World. Also, gear up with Face Masks!";12-Apr-2020 (21:43:10.000000)
The Opposition Party (Lamestream Media) and their partner, the Radical Left, Do Nothing Democrats, have put their political game plan in full swing. “Whether he is right or wrong, it doesn’t matter. Criticize ’Trump’ for everything, and don’t let the public see Biden. Hide him.”;12-Apr-2020 (21:33:34.000000)
"If the Fake News Opposition Party is pushing, with all their might, the fact that President Trump “ignored early warnings about the threat,” then why did Media &amp; Dems viciously criticize me when I instituted a Travel Ban on China? They said “early &amp; not necessary.” Corrupt Media!";12-Apr-2020 (20:43:12.000000)
Just watched Mike Wallace wannabe, Chris Wallace, on @FoxNews. I am now convinced that he is even worse than Sleepy Eyes Chuck Todd of Meet the Press(please!), or the people over at Deface the Nation. What the hell is happening to @FoxNews. It’s a whole new ballgame over there!;12-Apr-2020 (19:49:37.000000)
The big Oil Deal with OPEC Plus is done. This will save hundreds of thousands of energy jobs in the United States. I would like to thank and congratulate President Putin of Russia and King Salman of Saudi Arabia. I just spoke to them from the Oval Office. Great deal for all!;12-Apr-2020 (19:40:03.000000)
For the first time in history there is a fully signed Presidential Disaster Declaration for all 50 States. We are winning, and will win, the war on the Invisible Enemy!;12-Apr-2020 (19:25:35.000000)
https://t.co/VfrOSwXoqU;12-Apr-2020 (16:23:44.000000)
https://t.co/ZawRDjsldB;12-Apr-2020 (16:23:21.000000)
https://t.co/wwjRRx4W0P;12-Apr-2020 (16:22:59.000000)
"Great businessman &amp; philanthropist Bernie Marcus, Co-Founder of Home Depot, said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer";12-Apr-2020 (16:14:52.000000)
HAPPY EASTER!;12-Apr-2020 (14:21:55.000000)
"A very good sign is that empty hospital beds are becoming more and more prevalent. We deployed 418 Doctors, Nurses and Respiratory Therapists from the hospital ship Comfort and the Javits Convention Center to hospitals in NYC &amp; State. Have more bed capacity than was needed. Good!";12-Apr-2020 (14:21:03.000000)
HAPPY EASTER! https://t.co/UX5Bhm82H2;12-Apr-2020 (12:06:04.000000)
https://t.co/b3fwPSkSCF;12-Apr-2020 (01:18:34.000000)
Cryin’Chuck doesn’t have a clue. Couldn’t care less about the American Worker! https://t.co/eoXxXdn460;12-Apr-2020 (00:40:20.000000)
Mail in ballots substantially increases the risk of crime and VOTER FRAUD!;12-Apr-2020 (00:29:00.000000)
Will be interviewed by @JudgeJeanine tonight at 9:00 P.M. Eastern on @FoxNews! https://t.co/F83yVaxXab;11-Apr-2020 (23:51:58.000000)
So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!;11-Apr-2020 (23:34:58.000000)
"Governor @GavinNewsom of California has been very nice &amp;  highly supportive about the great job we have done, working together, for California. That is the good news, but this is the bad. He is unfairly under attack by the Radical Left Dems, MSDNC etc. He is strong! Will he fold?";11-Apr-2020 (23:28:18.000000)
I will be watching. HAVE A GREAT EASTER! https://t.co/wCa7u6qSnl;11-Apr-2020 (22:38:29.000000)
"The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs &amp; Trade are losers for the U.S., but winners for other countries, including China. If we followed their standards,  we’d have no Country left. They should love Sleepy Joe!";11-Apr-2020 (22:35:35.000000)
Watching @FoxNews on weekend afternoons is a total waste of time. We now have some great alternatives, like @OANN.;11-Apr-2020 (21:53:36.000000)
“The President and the Federal Government are doing an excellent job. When they say the death toll isn’t going to be as high as reported, they (the opposition) act like they’re sad because it’s lower. I think they are (Press Conferences) wonderful.” West Virginia Resident, C Span;11-Apr-2020 (21:48:58.000000)
Great editorial by @SenRonJohnson! https://t.co/hGmcwI4OSe;11-Apr-2020 (21:36:48.000000)
Wishing all a safe and blessed Easter Sunday. I will be tuning into Pastor @robertjeffress at https://t.co/roBC6bOARn Church in Dallas, Texas tomorrow morning at 10:20 AM Eastern. https://t.co/wCa7u6qSnl;11-Apr-2020 (21:08:43.000000)
WE WILL BUILD IT AGAIN!;11-Apr-2020 (18:53:59.000000)
....Does anyone ever notice how few quotes from an actual person are given nowadays by the Lamestream Media. Very seldom. The unnamed or anonymous sources are almost always FAKE NEWS.;11-Apr-2020 (18:47:39.000000)
"When the Failing @nytimes or Amazon @washingtonpost writes a story saying “unnamed sources said”, or any such phrase where a person’s  name is not used, don’t believe them. Most of these unnamed sources don’t exist. They are made up to defame &amp; disparage. They have no “source”...";11-Apr-2020 (18:43:03.000000)
....economy was shuttered. This is unprecedented, it is unsettling and challenging but, we will rise to meet the occasion.” MACK MCLARTY, Clinton White House Chief of Staff. @LelandVittert @FoxNews Thank you Mack. We will be bigger, better and stronger than ever before!;11-Apr-2020 (18:33:04.000000)
“I think the situation is unprecedented, and there is no question about that. It’s whiplash! The economy was moving forward at a rapid pace in terms of growth, jobs and even wage increases, and all of a sudden the pandemic hit and the....;11-Apr-2020 (18:33:03.000000)
“Trump did a deal with Japan. A lot of our product goes to Japan, and we are booming in North Dakota.” Jim on C Span, Washington Journal. Our Trade Deals will be having a big impact on our Country as they kick in!;11-Apr-2020 (16:01:37.000000)
https://t.co/HGD0GHUOjt;10-Apr-2020 (16:44:53.000000)
Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday, Crazy Bernie Sanders wins virtually every state in a blowout...NOT EVEN CLOSE!  I haven’t heard one member of the Fake News Establishment even mention this irrefutable fact. FAKE NEWS!;10-Apr-2020 (15:42:10.000000)
The Invisible Enemy will soon be in full retreat!;10-Apr-2020 (15:15:25.000000)
"Because the T.V. Ratings for the White House News Conference’s are the highest, the Opposition Party (Lamestream Media), the Radical Left, Do Nothing Democrats &amp;, of course, the few remaining RINO’S, are doing everything in their power to disparage &amp; end them. The People’s Voice!";10-Apr-2020 (14:36:41.000000)
The White House Press Conference will take place today at 1:00 P.M., recognizing that it is Good Friday!;10-Apr-2020 (14:35:20.000000)
HAPPY GOOD FRIDAY TO ALL!;10-Apr-2020 (14:32:33.000000)
Wow, Approval Rating in the Republican Party - 96%. Thank you!;10-Apr-2020 (14:14:28.000000)
Not good Gregg, but it is what it is. Have to save the airlines! https://t.co/AeaiLCO9pg;10-Apr-2020 (12:36:15.000000)
"Congress must go back to DEDUCTIBILITY by businesses if Restaurants, Clubs &amp; Entertaiment is expected to flourish (like never before)!";10-Apr-2020 (11:48:26.000000)
"Democrats are blocking a 251 Billion Dollar funding boost for Small Businesses which will help them keep their employees. It should be for only that reason, with no additions. We should have a big Infrastructure Phase Four with Payroll Tax Cuts &amp; more. Big Economic Bounceback!";10-Apr-2020 (11:32:26.000000)
This week, in only 4 days, we had the biggest Stock Market increase since 1974. We have a great chance for the really big bounce when the Invisible Enemy is gone!;10-Apr-2020 (11:30:20.000000)
Tim Scott is Great! https://t.co/O1Aivbc2yG;10-Apr-2020 (04:57:58.000000)
Thank you Frank. It’s ABC Fake News. They knew they were wrong when they went with this Hoax of a story! https://t.co/FHkRaW3BTi;10-Apr-2020 (04:56:21.000000)
Thank you Erin! https://t.co/m8HRlK6VCY;10-Apr-2020 (04:45:48.000000)
....We will always be there for our Great Farmers, Cattlemen, Ranchers, and Producers!;10-Apr-2020 (00:42:29.000000)
I have directed @SecretarySonny to expedite help to our farmers, especially to the smaller farmers who are hurting right now. I expect Secretary Purdue to use all of the funds and authorities at his disposal to make sure that our food supply is stable, strong, and safe....;10-Apr-2020 (00:42:28.000000)
"The Wall Street Journal always “forgets” to mention that the ratings for the White House Press Briefings are “through the roof” (Monday Night Football, Bachelor Finale, according to @nytimes) &amp; is only way for me to escape the Fake News &amp; get my views across. WSJ is Fake News!";09-Apr-2020 (19:35:00.000000)
Great News: Prime Minister Boris Johnson has just been moved out of Intensive Care. Get well Boris!!!;09-Apr-2020 (18:39:20.000000)
On National Former Prisoner of War Recognition Day, we honor the more than 500,000 American warriors captured while protecting our way of life. We pay tribute to these Patriots for their unwavering and unrelenting spirit! https://t.co/KOI7Qd1pZx;09-Apr-2020 (15:51:56.000000)
.@OANN  A key CoronaVirus Model is now predicting far fewer deaths than the number shown in earlier models. That’s because the American people are doing a great job. Social Distancing etc. Keep going!;09-Apr-2020 (15:08:05.000000)
Absentee Ballots are a great way to vote for the many senior citizens, military, and others who can’t get to the polls on Election Day. These ballots are very different from 100% Mail-In Voting, which is “RIPE for FRAUD,” and shouldn’t be allowed!;08-Apr-2020 (23:34:27.000000)
This morning, 450,000 protective suits landed in Dallas, Texas. This was made possible because of the partnership of two great American companies—DuPont and FedEx—and our friends in Vietnam. Thank you! @DuPont_News @FedEx https://t.co/8yhG6tYnQW;08-Apr-2020 (23:15:03.000000)
https://t.co/DKY3UPeyak;08-Apr-2020 (22:48:50.000000)
Wishing a HAPPY PASSOVER to those celebrating in the United States, Israel, and around the world! https://t.co/83odnD9yvh;08-Apr-2020 (20:50:34.000000)
White House news conference at 5:30 P.M. Eastern. Thank you!;08-Apr-2020 (20:37:12.000000)
Extraordinary times require even closer cooperation between friends. Thank you India and the Indian people for the decision on HCQ. Will not be forgotten! Thank you Prime Minister @NarendraModi for your strong leadership in helping not just India, but humanity, in this fight!;08-Apr-2020 (18:11:51.000000)
Can’t see AOC plus 3 supporting Sleepy Joe!;08-Apr-2020 (16:12:24.000000)
Wow, Bernie is unwilling to give up his delegates, and wants more of them! What’s that all about?;08-Apr-2020 (16:09:38.000000)
"Bernie Sanders is OUT! Thank you to Elizabeth Warren. If not for her, Bernie would have won almost every state on Super Tuesday! This ended just like the Democrats &amp; the DNC wanted, same as the Crooked Hillary fiasco. The Bernie people should come to the Republican Party, TRADE!";08-Apr-2020 (15:49:28.000000)
FLATTENING OF THE CURVE!;08-Apr-2020 (15:26:20.000000)
Once we OPEN UP OUR GREAT COUNTRY, and it will be sooner rather than later, the horror of the Invisible Enemy, except for those that sadly lost a family member or friend, must be quickly forgotten. Our Economy will BOOM, perhaps like never before!!!;08-Apr-2020 (14:52:56.000000)
"...the Fake News Media into not covering them, but that effort failed because the ratings are through the roof according to, of all sources, the Failing New York Times, “Monday Night Football, Bachelor Finale” type numbers (&amp; sadly, they get it $FREE). Trump Derangement Syndrome!";08-Apr-2020 (14:42:25.000000)
The Radical Left Democrats have gone absolutely crazy that I am doing daily Presidential News Conferences. They actually want me to STOP! They used to complain that I am not doing enough of them, now they complain that I “shouldn’t be allowed to do them.” They tried to shame.....;08-Apr-2020 (14:42:24.000000)
Will be immediately sending 100 Ventilators to Colorado at the request of Senator Gardner! https://t.co/Nj4EPxfZl6;08-Apr-2020 (12:46:01.000000)
Republicans should fight very hard when it comes to state wide mail-in voting. Democrats are clamoring for it. Tremendous potential for voter fraud, and for whatever reason,  doesn’t work out well for Republicans. @foxandfriends;08-Apr-2020 (12:20:48.000000)
“The number of New Yorkers admitted to hospitals has dropped.” @ainsleyearhardt @foxandfriends  Good news!;08-Apr-2020 (12:07:27.000000)
https://t.co/nyajxA52Fs;07-Apr-2020 (22:43:41.000000)
https://t.co/fiorkR8wtn;07-Apr-2020 (22:43:26.000000)
https://t.co/2VsBBtXpfg;07-Apr-2020 (21:29:52.000000)
White House news conference at 5:30 P.M. Eastern. Thank you!;07-Apr-2020 (21:03:47.000000)
https://t.co/GIzwKSbuuS;07-Apr-2020 (20:39:01.000000)
"Just had a conf call w/ major lenders discussing our Great Small Businesses &amp; the #PPPloan. I ask every company, big &amp; small, making announcements about innovative contributions, hiring new workers, or looking to overcome setbacks to share your stories with #AmericaWorksTogether! https://t.co/zfEy14aJ86";07-Apr-2020 (20:03:03.000000)
Wisconsin, get out and vote NOW for Justice Daniel Kelly. Protect your 2nd Amendment!;07-Apr-2020 (15:26:45.000000)
"Why didn’t the I.G., who spent 8 years with the Obama Administration (Did she Report on the failed H1N1 Swine Flu debacle where 17,000 people died?), want to talk to the Admirals, Generals, V.P. &amp; others in charge, before doing her report. Another Fake Dossier!";07-Apr-2020 (15:22:46.000000)
The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?;07-Apr-2020 (15:04:16.000000)
"Vote today, Tuesday, for highly respected Republican, Justice Daniel Kelly. Tough on Crime, loves your Military, Vets, Farmers, &amp; will save your 2nd Amendment. A BIG VOTE! https://t.co/1FPYjzZCoH";07-Apr-2020 (04:35:42.000000)
Great job being done by Dr. Nicole Saphier on @FoxNews!;07-Apr-2020 (03:39:01.000000)
https://t.co/oUFOV2HQLo;07-Apr-2020 (03:32:12.000000)
https://t.co/JIkrIczC8o;07-Apr-2020 (00:10:56.000000)
https://t.co/e3wBhSwDx7;07-Apr-2020 (00:10:15.000000)
The Wisconsin Supreme Court ruled that tomorrow’s election will proceed as scheduled. VOTE for Justice Daniel Kelly tomorrow, and be safe! https://t.co/rYkcxaae1k;07-Apr-2020 (00:09:52.000000)
White House news conference at 5:45 P.M. Eastern. Thank you!;06-Apr-2020 (21:25:42.000000)
Congratulations to State Representative Karen Whitsett of Michigan. So glad you are getting better! https://t.co/v6z46rUDtg;06-Apr-2020 (21:03:59.000000)
https://t.co/GIzwKSbuuS;06-Apr-2020 (18:32:32.000000)
Joe Biden wanted the date for the Democrat National Convention moved to a later time period. Now he wants a “Virtual” Convention, one where he doesn’t have to show up. Gee, I wonder why? Also, what ever happened to that phone call he told the Fake News he wanted to make to me?;06-Apr-2020 (15:34:27.000000)
Advertising in the Failing New York Times is WAY down. Washington Post is not much better. I can’t say whether this is because they are Fake News sources of information, to a level that few can understand, or the Virus is just plain beating them up. Fake News is bad for America!;06-Apr-2020 (13:08:58.000000)
LIGHT AT THE END OF THE TUNNEL!;06-Apr-2020 (11:55:14.000000)
USA STRONG!;06-Apr-2020 (11:54:33.000000)
"Thank you Gayle. I only wish the public could fully understand how corrupt &amp; dishonest so much of our Lamestream Media is. My Press Conferences are vital. They are reaching millions of people that are not being told the truth, &amp; haven’t been for years (Witch-Hunts, Fake News)! https://t.co/DN4DDoHPtu";06-Apr-2020 (11:53:00.000000)
"For humanitarian reasons, the passengers from the two CoronaVirus stricken cruise ships have been given medical treatment and, when appropriate, allowed to disembark, under strict supervision. Very carefully done. People we’re dying &amp; no other countries would allow them to dock!";06-Apr-2020 (11:49:57.000000)
.@gayletrotter  “To this day the establishment media have not admitted that they were wrong and the President was right.” @FoxNews;06-Apr-2020 (11:40:45.000000)
https://t.co/j8fKN49P1o;06-Apr-2020 (00:51:56.000000)
https://t.co/hUVUJb9zSA;06-Apr-2020 (00:51:50.000000)
White House news conference at 6:45 P.M. Eastern. Thank you!;05-Apr-2020 (22:19:59.000000)
We are learning much about the Invisible Enemy. It is tough and smart, but we are tougher and smarter!;05-Apr-2020 (19:35:34.000000)
Thank you Gayle! https://t.co/DN4DDoHPtu;05-Apr-2020 (16:30:32.000000)
I agree! https://t.co/8QO4QquG4A;05-Apr-2020 (16:26:33.000000)
A very biased “journalist”. https://t.co/4jN4LW63FV;05-Apr-2020 (16:25:57.000000)
"A great &amp; wonderful woman! https://t.co/6ivEcwk12Z";05-Apr-2020 (16:23:40.000000)
Corrected Fake News! https://t.co/1LISKyeVNg;05-Apr-2020 (16:20:41.000000)
He wants to raise taxes all over our Country! https://t.co/8RgHO9y8p6;05-Apr-2020 (02:02:59.000000)
Disgraceful! https://t.co/Z8g6UWi6dB;05-Apr-2020 (01:59:39.000000)
Palm Sunday is the beginning of a Holy week for many people of Faith and a great day to lift our voices in Prayer. I will be tuning into Pastor @greglaurie at @harvestorg Church in Riverside, California tomorrow at 11:00 A.M. Eastern. https://t.co/2eTaKsZVT4;04-Apr-2020 (23:25:14.000000)
....We will get through this together, and bats will be swinging before you know it. In the meantime, take care of mom and dad, and know that this will not be forever! @littleleagueceo;04-Apr-2020 (19:40:07.000000)
To all of our youth who are missing the start of their @LittleLeague seasons, hang in there! We will get you back out on the fields, and know that you will be playing baseball soon....;04-Apr-2020 (19:40:06.000000)
The Paycheck Protection Program is up and running! The program is open to nonprofits as well, so banks be sure to sign up our Great Religious and Veteran Organizations that need help!;04-Apr-2020 (19:19:53.000000)
America owes our very hard working food supply workers so much as they produce and deliver high quality food for us during this horrible COVID-19. Join me in thanking our Farmers, Ranchers, Processors, Distributors and Stores! @JohnBoozman;04-Apr-2020 (19:10:23.000000)
https://t.co/GIzwKSbuuS;04-Apr-2020 (18:30:39.000000)
I will be holding a News Conference at 3:30 P.M. at the White House. Thank you!;04-Apr-2020 (17:09:23.000000)
.@CNN is Fake News. They will take a good story and make it as bad as is humanly possible. They are a JOKE!;04-Apr-2020 (17:07:39.000000)
Good idea Dana! https://t.co/Vx7yfwfpIU;04-Apr-2020 (17:05:16.000000)
